NUME,SEX,BIRTH,VARSTA,DATA,PISTA,DISTANTA,BOXA,SECTIONAL,CURBA,POZITIE,X,X,REMARK,FINAL,CONDITII,WEIGHT,,GRAD,FINAL CALC
Good Steel,D,Jul-22,2,14/05/2025,Yrmth,462m,[3],5.36,2111,2nd,shd,Bluejig Tank,"Mid,Ld1-4,ChlNrLn",28.29,10,38.2,02-Jan,A2,28.4
Good Steel,D,Jul-22,2,07/05/2025,Yrmth,462m,[4],5.32,1111,2nd,hd,Wrong Not Wright,"Mid,Ld-NrLn",28.07,10,38.4,07-Feb,A2,28.19
Good Steel,D,Jul-22,2,03/05/2025,Yrmth,462m,[4],5.41,5433,5th,5¼,Badminton Satie,Mid,28,N,38.6,05-Jan,A2,28.42
Good Steel,D,Jul-22,2,28/04/2025,Yrmth,462m,[3],5.29,2111,1st,5½,Billy And Bob,"Mid-Rls,LdRnUp",28.09,N,38.7,05-Feb,A3,28.09
Good Steel,D,Jul-22,2,21/04/2025,Yrmth,462m,[3],5.36,3222,2nd,2,Bluejig Tank,"Mid,ChlCrd1&3",28.01,10,38.7,04-Jan,A3,28.28
Good Steel,D,Jul-22,2,13/04/2025,Yrmth,462m,[3],5.55,5333,4th,8¼,Ballygloss Mike,"StmbStt,Mid,Blk1",28.3,10,39,05-Feb,A3,29.07
Good Steel,D,Jul-22,2,06/04/2025,Yrmth,462m,[4],5.36,5111,2nd,½,Murrow Catatumbo,"Mid,LdCrd1-RnIn",28.22,N,38.9,09-Feb,A3,28.26
Good Steel,D,Jul-22,2,31/03/2025,Yrmth,462m,[3],5.56,5555,6th,6½,Kilara Trojan,"Mid-Rls,Fcd-Ck&Crd1",28.53,N,38.3,09-Feb,A3,29.05
Good Steel,D,Jul-22,2,17/03/2025,Yrmth,462m,[3],5.31,3111,2nd,¾,Airforce Jackpot,"Mid,Ld1-NrLn",28.4,-10,38.6,05-Jan,A3,28.36
Good Steel,D,Jul-22,2,05/03/2025,Yrmth,462m,[3],5.29,1111,1st,3,Drumdoit Plumey,"Mid,W2,ALd",28.33,N,38.2,13/8F,A4,28.33
Hellofawhatever,D,01/10/2021,3,25/05/2025,Yrmth,462m,[6],5.49,5555,4th,4,Mortimer Girls,W,28.48,30,36.7,04-Jan,A7,29.1
Hellofawhatever,D,01/10/2021,3,19/05/2025,Yrmth,462m,[5],5.52,4333,2nd,¾,Solid Luna,"Mid-W,ChlNrLn",28.6,10,36.7,05-Jan,A7,28.77
Hellofawhatever,D,01/10/2021,3,11/05/2025,Yrmth,462m,[5],5.46,4444,4th,7½,Hollyhill Jimmy,"Mid,Crd1&1/4",28.25,40,37.2,06-Jan,A7,29.26
Hellofawhatever,D,01/10/2021,3,04/05/2025,Yrmth,462m,[5],5.66,3322,1st,¾,Indigo Sapphire,"W,LdNrLn",29.25,N,36.7,09-Apr,A8,29.25
Hellofawhatever,D,01/10/2021,3,27/04/2025,Yrmth,462m,[5],5.51,4544,5th,7¼,Scotchrath Blake,"Mid-W,BdCrd1",28.57,20,36.7,07-Jan,A7,29.35
Hellofawhatever,D,01/10/2021,3,30/03/2025,Yrmth,462m,[5],5.59,6555,5th,10¼,Wicked Freebie,"W,VBdCrd1",28.88,N,37.3,05-Feb,A7,29.7
Hellofawhatever,D,01/10/2021,3,24/03/2025,Yrmth,462m,[4],5.45,3343,4th,4½,Drive On Belle,"Mid-W,Crd1/4&4",28.94,N,36.8,07-Apr,A7,29.3
Hellofawhatever,D,01/10/2021,3,10/03/2025,Yrmth,462m,[4],5.53,2324,4th,2½,Roseville Rose,"Mid-W,Crd1",28.86,N,36.2,11-Apr,A7,29.06
Icaal George,D,Jun-21,4,28/05/2025,Yrmth,462m,[5],,4444,1st,1,R10 Drumboy Annie,"(Scr) Mid-W,Crd3,LdRnIn",29.51,10,31.5,6/4F,HP,29.61
Icaal George,D,Jun-21,4,19/05/2025,Yrmth,462m,[5],5.49,4222,2nd,1¼,Papa Roy,"Mid-W,Crd1",28.49,10,31.5,12-Jan,A6,28.7
Icaal George,D,Jun-21,4,12/05/2025,Yrmth,462m,[5],5.59,3344,4th,4¼,Pyrus,"Mid-W,Crd1&2&3",28.46,10,32,09-Jan,A6,28.9
